"index","word","female","i_pronoun","exclude","coef","ME","nFemale","nMale","coef_pronoun","ME_pronoun","nFemale_pronoun","nMale_pronoun","linear_coef"
2399,"walking",NA,NA,NA,0,0,257,526,-0.012837437,-0.002076224,152,330,0
2400,"favorite",NA,NA,NA,-0.200968022,-0.029439806,224,893,-0.523282316,-0.084631487,111,493,-0.047635772
2401,"pool",NA,NA,NA,0.020660407,0.003026543,166,352,-0.328585739,-0.053142824,56,198,0
2402,"seminars",NA,NA,NA,-0.483599634,-0.070842511,56,494,-0.430194422,-0.069576198,33,301,-0.012169598
2403,"suddenly",NA,NA,NA,-0.040089349,-0.005872689,174,461,-0.087824252,-0.014203991,113,321,0
2404,"mess",NA,NA,NA,-0.356837047,-0.052273059,114,497,-0.299656367,-0.048464019,68,294,0
2405,"hillary",1,0,1,NA,NA,1757,812,NA,NA,449,570,NA
2406,"convince",NA,NA,NA,0.10641991,0.015589453,159,537,0.034454431,0.005572383,118,353,0
2407,"trolling",NA,NA,NA,-0.378400173,-0.055431842,211,1146,-0.38261207,-0.061880609,102,524,-0.027870566
2408,"scholars",NA,NA,NA,-0.036202947,-0.00530337,61,445,0.001096666,0.000177366,31,214,0
2409,"maintain",NA,NA,NA,0.070981076,0.010398018,115,314,-0.0545402,-0.008820895,54,182,0
2410,"happiness",NA,NA,NA,0,0,174,296,0.011929001,0.001929301,85,155,0
2411,"sick",NA,NA,NA,0.108406279,0.015880436,295,662,0,0,169,350,0
2412,"humans",NA,NA,NA,0,0,107,338,0,0,34,177,0
2413,"sat",NA,NA,NA,0,0,145,442,-0.252362149,-0.040815031,95,308,0
2414,"cheaper",NA,NA,NA,0.273944154,0.040130079,88,254,0.291434214,0.047134234,37,99,0
2415,"compensation",NA,NA,NA,0,0,57,279,0,0,30,153,0
2416,"garbage",NA,NA,NA,-0.075946531,-0.011125407,119,592,-0.205311797,-0.033205484,63,302,0
2417,"switch",NA,NA,NA,-0.076362815,-0.011186389,115,437,0,0,59,189,0
2418,"runs",NA,NA,NA,-0.213817362,-0.031322106,101,571,-0.234552791,-0.037934688,72,377,0
2419,"infrastructure",NA,NA,NA,0.050224768,0.007357426,40,256,0,0,14,129,0
2420,"speed",NA,NA,NA,0.112605361,0.01649556,96,355,-0.525775831,-0.085034769,30,203,0
2421,"importantly",NA,NA,NA,0,0,108,292,0,0,49,172,0
2422,"proud",NA,NA,NA,-0.074146529,-0.010861725,232,672,0,0,132,327,0
2423,"forth",NA,NA,NA,-0.032227167,-0.004720958,50,336,0,0,37,208,0
2424,"defined",NA,NA,NA,0.053925453,0.00789954,77,386,0,0,40,196,0
2425,"spanish",NA,NA,NA,0.169286935,0.024798843,173,416,0.030174997,0.004880262,62,211,0
2426,"irrelevant",NA,NA,NA,0,0,110,541,-0.007081134,-0.001145246,62,300,0
2427,"visiting",NA,NA,NA,0.065620757,0.009612785,162,624,-0.055727269,-0.009012882,114,385,0
2428,"trash",NA,NA,NA,-0.026901393,-0.003940785,203,695,-0.193374691,-0.031274873,89,352,0
2429,"latex",NA,NA,NA,-0.097306241,-0.014254391,67,314,0,0,31,123,0
2430,"threat",NA,NA,NA,-0.077690563,-0.011380891,74,442,-0.143524315,-0.023212472,42,285,0
2431,"sentence",NA,NA,NA,-0.154529806,-0.022637071,96,574,0,0,73,372,0
2432,"medicine",NA,NA,NA,0,0,101,329,0.366859971,0.059332991,71,157,0.011905652
2433,"idiots",NA,NA,NA,-0.263303865,-0.038571383,144,778,-0.015948073,-0.002579314,80,358,0
2434,"memory",NA,NA,NA,-0.166902847,-0.024449598,83,367,0,0,54,220,0
2435,"modeling",NA,NA,NA,0,0,43,373,0,0,25,162,0
2436,"planning",NA,NA,NA,0.038868884,0.005693903,210,499,0.179097326,0.028965766,122,245,0.004162301
2437,"sold",NA,NA,NA,0,0,106,463,-0.338479039,-0.054742887,54,309,0
2438,"wondering",NA,NA,NA,-0.04765375,-0.006980798,179,658,0,0,116,310,0
2439,"killing",NA,NA,NA,-0.114400769,-0.016758569,146,597,0,0,71,354,0
2440,"violent",NA,NA,NA,-0.350103715,-0.051286694,96,390,-0.091815483,-0.0148495,47,235,0
2441,"italian",NA,NA,NA,0.232931962,0.034122203,295,611,0.168249218,0.02721128,93,270,0.004887239
2442,"survive",NA,NA,NA,-0.026949635,-0.003947852,98,413,0,0,56,215,0
2443,"preferred",NA,NA,NA,-0.088207918,-0.012921578,108,382,-0.007751724,-0.001253702,54,209,0
2444,"psychology",NA,NA,NA,0.071283167,0.010442271,117,386,0.170393497,0.027558078,51,182,0
2445,"protect",NA,NA,NA,0,0,128,453,0,0,78,293,0
2446,"piketty",0,0,1,NA,NA,8,2283,NA,NA,13,594,NA
2447,"arrogant",NA,NA,NA,-0.398345935,-0.058353696,116,690,-0.63818949,-0.103215653,56,446,-0.025266179
2448,"prestigious",NA,NA,NA,0,0,108,461,0.06182074,0.009998391,47,217,0
2449,"democrats",NA,NA,NA,0.012271321,0.001797626,113,530,0.050942393,0.008239014,64,338,0
2450,"they've",NA,NA,NA,-0.013132576,-0.001923791,109,467,-0.005457346,-0.000882627,51,242,0
2451,"holds",NA,NA,NA,0,0,101,458,0.071097898,0.011498804,70,274,0
2452,"season",NA,NA,NA,-0.11226984,-0.016446409,117,664,-0.196421587,-0.031767653,47,380,-0.001976519
2453,"understood",NA,NA,NA,-0.300233276,-0.043981173,91,566,-0.259983562,-0.042047657,60,327,0
2454,"familiar",NA,NA,NA,-0.035412974,-0.005187647,84,512,0,0,56,293,0
2455,"limits",NA,NA,NA,0,0,56,339,0,0,36,182,0
2456,"congress",NA,NA,NA,0,0,57,487,-0.137005022,-0.022158094,39,353,0
2457,"commitment",NA,NA,NA,0.076139971,0.011153744,130,245,0,0,75,127,0
2458,"bayesian",NA,NA,NA,-0.568284045,-0.08324793,26,361,-0.396200574,-0.064078305,16,158,0
2459,"iraq",NA,NA,NA,-0.453615315,-0.066450108,53,485,-0.583567605,-0.094381547,18,337,-0.014828813
2460,"jewish",NA,NA,NA,-0.0833749,-0.012213589,145,583,-0.052621263,-0.008510541,57,344,0
2461,"prepared",NA,NA,NA,0.251853997,0.036894092,129,313,0.021684737,0.003507116,82,196,0
2462,"emails",NA,NA,NA,0.050384501,0.007380826,164,518,0.000890611,0.00014404,114,348,0
2463,"gas",NA,NA,NA,-0.235402522,-0.034484116,57,354,-0.036963858,-0.005978238,39,187,0
2464,"strange",NA,NA,NA,-0.013047359,-0.001911308,189,626,-0.138210171,-0.022353005,97,407,0
2465,"crappy",NA,NA,NA,-0.113961442,-0.016694212,110,500,-0.147393042,-0.023838169,52,249,0
2466,"screen",NA,NA,NA,0,0,109,308,0,0,80,175,0
2467,"hopefully",NA,NA,NA,0,0,191,458,0.124496823,0.020135118,127,263,0
2468,"combined",NA,NA,NA,-0.279480551,-0.040941106,72,378,0,0,33,181,0
2469,"surprising",NA,NA,NA,0.121891267,0.017855852,125,503,0.063605465,0.010287038,71,302,0
2470,"distance",NA,NA,NA,0.126682934,0.018557783,156,303,0.13127982,0.021232146,99,180,0
2471,"caught",NA,NA,NA,0.098020699,0.014359052,220,620,-0.065414211,-0.01057957,132,431,0
2472,"suffer",NA,NA,NA,-0.058277708,-0.008537101,123,380,-0.10572868,-0.017099709,58,224,0
2473,"absolute",NA,NA,NA,-0.049359492,-0.007230672,96,538,0,0,52,342,0
2474,"january",NA,NA,NA,0,0,63,445,0.037155311,0.006009202,54,231,0
2475,"nuclear",NA,NA,NA,0,0,59,352,0.000300022,4.85e-05,31,246,0
2476,"regional",NA,NA,NA,-0.01244553,-0.001823146,31,325,0,0,17,147,0
2477,"latest",NA,NA,NA,-0.099991453,-0.014647748,122,698,0,0,80,402,0
2478,"blood",NA,NA,NA,-0.231978224,-0.03398249,141,534,0,0,86,329,0
2479,"england",NA,NA,NA,-0.105544237,-0.015461175,97,478,0.057596751,0.009315237,51,237,0
2480,"voice",NA,NA,NA,0,0,205,476,0.281049624,0.045454714,151,329,0.004781122
2481,"volatility",NA,NA,NA,0,0,13,265,0,0,4,79,0
2482,"records",NA,NA,NA,-0.048734664,-0.007139141,61,407,0,0,40,224,0
2483,"valid",NA,NA,NA,-0.091893937,-0.013461543,76,490,0,0,55,290,0
2484,"voters",NA,NA,NA,0,0,95,464,0,0,57,328,0
2485,"awful",NA,NA,NA,0,0,211,685,-0.043932944,-0.007105362,108,394,0
2486,"concepts",NA,NA,NA,-0.116141474,-0.017013565,21,375,-0.334408905,-0.054084616,10,205,0
2487,"depend",NA,NA,NA,0,0,75,299,0,0,38,115,0
2488,"genetic",NA,NA,NA,0,0,99,234,-0.179113845,-0.028968438,31,118,0
2489,"slowly",NA,NA,NA,-0.232918281,-0.034120199,142,385,0,0,98,220,0
2490,"dc",NA,NA,NA,0,0,107,413,0,0,51,165,0
2491,"justify",NA,NA,NA,0,0,85,458,0,0,54,260,0
2492,"pretend",NA,NA,NA,0.390489288,0.057202776,293,560,0.114148327,0.018461436,145,306,0
2493,"fill",NA,NA,NA,0,0,115,406,0,0,69,204,0
2494,"catch",NA,NA,NA,0.050740544,0.007432982,233,506,0.119842564,0.019382376,141,283,0
2495,"controls",NA,NA,NA,-0.080008743,-0.011720481,42,291,0,0,18,134,0
2496,"jump",NA,NA,NA,0.174380293,0.025544969,132,429,0,0,65,222,0
2497,"perform",NA,NA,NA,0.09474111,0.013878625,102,298,0.049091665,0.007939692,55,153,0
2498,"presented",NA,NA,NA,-0.071684311,-0.010501035,65,548,0.038084213,0.006159435,58,373,0
2499,"peers",NA,NA,NA,-0.702199541,-0.102865212,80,463,-0.13066973,-0.021133475,39,311,0
2500,"measured",NA,NA,NA,0,0,39,323,0,0,17,116,0
2501,"info",NA,NA,NA,-0.182731956,-0.026768404,129,635,0,0,94,278,0
2502,"putin",NA,NA,1,NA,NA,78,996,NA,NA,30,812,NA
2503,"package",NA,NA,NA,-0.049216235,-0.007209686,75,336,0,0,46,172,0
2504,"achievement",NA,NA,NA,0.040527943,0.005936938,70,277,0.096870663,0.015667085,33,145,0
2505,"december",NA,NA,NA,-0.249254486,-0.03651329,64,401,0,0,49,233,0
2506,"properly",NA,NA,NA,-0.210049584,-0.030770164,113,460,-0.142022069,-0.022969511,66,251,0
2507,"risks",NA,NA,NA,-0.273851791,-0.040116549,50,313,0,0,31,150,0
2508,"exact",NA,NA,NA,0,0,123,540,0,0,65,322,0
2509,"heterogeneity",NA,NA,NA,0,0,37,256,0,0,4,51,0
2510,"theorist",NA,NA,NA,-0.395243227,-0.057899181,95,898,-0.567890305,-0.091846026,53,535,-0.036019724
2511,"contracts",NA,NA,NA,0,0,48,296,0,0,15,139,0
2512,"compete",NA,NA,NA,0,0,110,396,0,0,36,151,0
2513,"bound",NA,NA,NA,-0.035565271,-0.005209957,56,386,-0.141935532,-0.022955515,27,177,0
2514,"biased",NA,NA,NA,0,0,89,425,0,0,33,215,0
2515,"detail",NA,NA,NA,0.181430609,0.02657777,156,564,0,0,81,308,0
2516,"agenda",NA,NA,NA,0.016047671,0.002350823,91,605,0,0,62,400,0
2517,"wearing",NA,NA,NA,0.339193794,0.049688499,422,606,0.02057995,0.003328436,213,348,0
2518,"healthcare",NA,NA,NA,-0.004914768,-0.000719964,66,318,-0.071894656,-0.011627665,33,157,0
2519,"agent",NA,NA,NA,0,0,74,465,-0.136465234,-0.022070793,48,277,0
2520,"seek",NA,NA,NA,0,0,127,389,-0.037187272,-0.006014371,60,227,0
2521,"tuition",NA,NA,NA,-0.133635088,-0.019576204,61,253,0,0,37,115,0
2522,"deeply",NA,NA,NA,0.102194582,0.014970484,133,442,0,0,84,298,0
2523,"pathetic",NA,NA,NA,0,0,281,757,-0.104673575,-0.016929065,121,407,0
2524,"acceptance",NA,NA,NA,0,0,53,358,-0.149165704,-0.024124865,29,191,0
2525,"admitted",NA,NA,NA,0.012396592,0.001815977,114,497,0,0,94,374,0
2526,"exception",NA,NA,NA,-0.05674719,-0.008312896,82,407,0,0,41,202,0
2527,"depressed",NA,NA,NA,-0.028134877,-0.004121478,284,527,0.008241543,0.001332921,147,222,0
2528,"engage",NA,NA,NA,0.164086594,0.024037045,126,337,0,0,64,184,0
2529,"talks",NA,NA,NA,-0.163453915,-0.023944364,197,938,-0.216181938,-0.034963534,143,617,-0.011485159
2530,"reply",NA,NA,NA,0.1151616,0.016870023,179,563,0.101151623,0.016359453,135,350,0.004143315
2531,"russians",NA,NA,NA,-0.156602847,-0.022940751,68,352,0,0,27,195,0
2532,"signals",NA,NA,NA,0,0,132,347,0.125417762,0.020284064,80,168,0
2533,"army",NA,NA,NA,-0.216089669,-0.031654976,76,488,-0.160138556,-0.025899527,37,333,0
2534,"rely",NA,NA,NA,-0.269905257,-0.039538421,51,327,0,0,19,137,0
2535,"keeps",NA,NA,NA,-0.085988754,-0.012596493,240,806,-0.055113566,-0.008913626,171,563,0
2536,"talent",NA,NA,NA,0,0,90,441,-0.168826787,-0.027304691,46,269,0
2537,"hong",NA,NA,1,NA,NA,50,292,NA,NA,21,96,NA
2538,"interaction",NA,NA,NA,0,0,95,332,0,0,53,153,0
2539,"quit",NA,NA,NA,0,0,225,576,0,0,125,323,0
2540,"connection",NA,NA,NA,0,0,138,438,0,0,83,273,0
2541,"covered",NA,NA,NA,0.070633475,0.010347098,122,397,-0.094579957,-0.015296604,62,220,0
2542,"discount",NA,NA,NA,0,0,70,319,-0.226571139,-0.0366438,33,157,0
2543,"christian",NA,NA,NA,-0.28877243,-0.042302274,115,608,-0.013401876,-0.002167512,62,345,0
2544,"attract",NA,NA,NA,0.847501388,0.124150479,212,299,0,0,42,159,0
2545,"fourth",NA,NA,NA,0,0,68,321,0,0,46,179,0
2546,"thesis",NA,NA,NA,0.099538386,0.014581378,123,582,0.296012851,0.047874746,105,395,0
2547,"claiming",NA,NA,NA,-0.108018232,-0.015823591,97,552,0,0,70,363,0
2548,"matching",NA,NA,NA,0,0,78,351,0,0,32,117,0
2549,"references",NA,NA,NA,-0.526426565,-0.077116228,36,458,-0.254339801,-0.041134881,25,232,0
2550,"husband",0,0,1,NA,NA,545,1192,NA,NA,614,418,NA
2551,"practical",NA,NA,NA,0.005934559,0.000869354,81,373,0.202523443,0.032754518,46,179,0
2552,"pursue",NA,NA,NA,0.531866844,0.077913175,175,298,0.45907165,0.074246569,91,170,0.006357551
2553,"imply",NA,NA,NA,-0.427023347,-0.062554651,52,366,0,0,35,169,0
2554,"dissertation",NA,NA,NA,0,0,95,539,0,0,76,371,0
2555,"busy",NA,NA,NA,0.098550459,0.014436657,312,718,-0.119281398,-0.019291617,183,492,0
2556,"endogenous",NA,NA,NA,0,0,42,348,0,0,14,120,0
2557,"presentation",NA,NA,NA,-0.255728898,-0.037461727,65,483,0,0,61,309,0
2558,"lifestyle",NA,NA,NA,0.283785696,0.041571767,205,273,0.288760614,0.046701827,98,135,0
2559,"reducing",NA,NA,NA,0,0,41,274,0.057441334,0.009290101,19,99,0
2560,"discussed",NA,NA,NA,0,0,94,544,0.111843874,0.018088732,74,334,0
2561,"sum",NA,NA,NA,-0.342992183,-0.050244925,37,269,0,0,22,142,0
2562,"aspects",NA,NA,NA,-0.084954541,-0.012444991,77,355,0,0,35,197,0
2563,"booth",NA,NA,NA,0.244966196,0.035885098,96,565,0.041721692,0.006747732,73,304,0
2564,"administrative",NA,NA,NA,0,0,56,311,0,0,37,118,0
2565,":)",NA,NA,NA,0.242519141,0.035526629,329,613,0.161088282,0.026053127,141,223,0.002378162
2566,"cup",NA,NA,NA,0.039340887,0.005763047,158,491,-0.005217723,-0.000843873,67,272,0
2567,"closed",NA,NA,NA,0.060770023,0.008902201,145,444,0.245992186,0.039784805,96,258,0
2568,"dropped",NA,NA,NA,0,0,153,490,0,0,102,354,0
2569,"boys",0,0,1,NA,NA,250,1500,NA,NA,120,256,NA
2570,"here's",NA,NA,NA,-0.160320778,-0.023485391,218,839,0,0,137,451,0
2571,"officers",NA,NA,NA,-0.020210934,-0.0029607,50,285,0,0,34,204,0
2572,"frequently",NA,NA,NA,0.097483149,0.014280307,130,366,0,0,67,216,0
2573,"quantity",NA,NA,NA,0,0,31,276,-0.292570124,-0.047317947,14,142,0
2574,"dealing",NA,NA,NA,-0.24223384,-0.035484836,113,444,0,0,67,258,0
2575,"customers",NA,NA,NA,0,0,56,258,0,0,31,129,0
2576,"industries",NA,NA,NA,0,0,32,254,0,0,12,105,0
2577,"we've",NA,NA,NA,0.393162055,0.05759431,214,454,0.445789117,0.072098359,156,245,0.022877684
2578,"ran",NA,NA,NA,0,0,187,700,-0.143657928,-0.023234082,139,517,0
2579,"mid",NA,NA,NA,0,0,191,502,0,0,94,258,0
2580,"aea",NA,NA,NA,-0.246741966,-0.036145231,92,633,0.384866072,0.062245154,57,217,0.014641699
2581,"methodology",NA,NA,NA,-0.059616349,-0.008733199,36,444,0,0,27,218,0
2582,"tired",NA,NA,NA,-0.050890602,-0.007454964,257,554,0,0,160,312,0
2583,"reviews",NA,NA,NA,-0.119761138,-0.017543809,71,489,0,0,43,268,0
2584,"allowing",NA,NA,NA,0.035775753,0.00524079,73,332,0.092240628,0.01491826,43,161,0
2585,"networks",NA,NA,NA,-0.335862587,-0.049200511,32,309,-0.186085602,-0.030095994,15,140,0
2586,"leaves",NA,NA,NA,0.029028633,0.004252404,193,467,0,0,128,311,0
2587,"rigorous",NA,NA,NA,-0.009641983,-0.001412454,44,391,0,0,23,191,0
2588,"worker",NA,NA,NA,0.057653885,0.008445718,88,341,0.31514252,0.050968625,70,188,0
2589,"solutions",NA,NA,NA,-0.167443981,-0.024528869,48,388,-0.225229999,-0.036426895,34,212,0
2590,"reserves",NA,NA,NA,0.528494781,0.077419201,15,153,0.186788832,0.030209729,6,53,0
2591,"agreement",NA,NA,NA,0,0,61,337,0,0,39,199,0
2592,"portfolio",NA,NA,NA,0,0,27,299,-0.018364657,-0.002970152,17,119,0
2593,"belief",NA,NA,NA,-0.104760824,-0.015346413,62,397,0,0,35,258,0
2594,"turkey",NA,NA,NA,-0.037555224,-0.005501465,62,380,-0.133546907,-0.021598806,25,236,0
2595,"explaining",NA,NA,NA,-0.042725567,-0.006258868,72,483,0,0,56,287,0
2596,"angry",NA,NA,NA,-0.308853467,-0.045243945,241,816,-0.450701815,-0.072892899,134,468,-0.024416103
2597,"determine",NA,NA,NA,0,0,64,357,-0.011385962,-0.001841474,41,178,0
2598,"restaurants",NA,NA,NA,-0.495265834,-0.072551493,74,206,-0.130317213,-0.021076461,27,81,0
2599,"june",NA,NA,NA,-0.502728871,-0.073644753,40,388,0,0,42,207,0
2600,"implies",NA,NA,NA,0,0,67,359,0.428489989,0.069300536,49,162,0
2601,"standing",NA,NA,NA,-0.113383807,-0.016609594,163,512,0,0,132,340,0
2602,"friday",NA,NA,NA,-0.593908373,-0.087001638,192,759,-0.208947973,-0.03379357,126,358,0
2603,"ignorant",NA,NA,NA,-0.265355625,-0.038871946,86,540,-0.401584138,-0.064949,46,313,0
2604,"capacity",NA,NA,NA,0,0,49,279,0,0,28,136,0
2605,"character",NA,NA,NA,0,0,192,645,-0.036247794,-0.005862428,120,482,0
2606,"studied",NA,NA,NA,-0.249127089,-0.036494628,93,569,-0.000162023,-2.62e-05,66,341,0
2607,"poorly",NA,NA,NA,-0.134091849,-0.019643115,79,426,-0.139020964,-0.022484136,45,242,0
2608,"interpretation",NA,NA,NA,0,0,45,345,0,0,19,181,0
2609,"capable",NA,NA,NA,0,0,124,393,-0.084775658,-0.013710935,67,271,0
2610,"recommendation",NA,NA,NA,-0.105916575,-0.015515719,60,465,-0.054822858,-0.00886661,39,302,0
2611,"employer",NA,NA,NA,0,0,70,281,-0.160791013,-0.02600505,32,149,0
2612,"trends",NA,NA,NA,0,0,58,273,0,0,13,81,0
2613,"disciplines",NA,NA,NA,0,0,37,262,0,0,16,121,0
2614,"approaches",NA,NA,NA,-0.062848393,-0.009206661,42,323,0,0,29,140,0
2615,"mouth",NA,NA,NA,0.018027978,0.002640919,326,591,0.293300743,0.047436111,257,430,0.03095169
2616,"foreigners",NA,NA,NA,0,0,67,233,-0.295338443,-0.047765672,21,100,0
2617,"film",NA,NA,NA,0,0,142,460,0,0,97,256,0
2618,"weren't",NA,NA,NA,-0.184116573,-0.026971237,156,572,-0.088456507,-0.014306246,88,337,0
2619,"peter",0,0,1,NA,NA,24,1743,NA,NA,19,370,NA
2620,"agreed",NA,NA,NA,0.023449023,0.003435047,258,729,0,0,178,490,0
2621,"thats",NA,NA,NA,0,0,221,577,0.031355484,0.005071185,111,290,0
2622,"precisely",NA,NA,NA,0.096728068,0.014169695,73,380,0.335531151,0.054266119,44,213,0
2623,"humanities",NA,NA,NA,0.650020794,0.095221547,116,331,0.503346982,0.081407306,53,146,0
2624,"divorce",NA,NA,NA,1.122105655,0.164377259,673,192,0.934502452,0.151138936,376,147,0.145076893
2625,"repeat",NA,NA,NA,0.188200153,0.027569441,111,308,0,0,68,166,0
2626,"underlying",NA,NA,NA,0.141613539,0.020744967,63,305,0.592301697,0.095794129,35,123,0
2627,"manner",NA,NA,NA,-0.118501525,-0.017359288,82,388,0,0,57,253,0
2628,"saving",NA,NA,NA,-0.277339071,-0.040627401,76,347,0,0,44,150,0
2629,"liked",NA,NA,NA,0,0,340,872,0,0,250,591,0
2630,"males",0,0,1,NA,NA,306,1124,NA,NA,91,115,NA
2631,"badly",NA,NA,NA,0,0,164,507,0,0,111,343,0
2632,"meanwhile",NA,NA,NA,0.036850095,0.00539817,142,440,0,0,83,276,0
2633,"testing",NA,NA,NA,0,0,64,340,0,0,39,158,0
2634,"tiny",NA,NA,NA,0,0,200,413,0.398089458,0.064383798,123,190,0.007248538
2635,"regularly",NA,NA,NA,0,0,203,477,0,0,104,288,0
2636,"versus",NA,NA,NA,0,0,69,382,0,0,28,129,0
2637,"principle",NA,NA,NA,0,0,55,367,-0.16077219,-0.026002005,34,231,0
2638,"sides",NA,NA,NA,-0.19233892,-0.028175729,87,444,0,0,50,244,0
2639,"thomas",0,0,1,NA,NA,12,1251,NA,NA,20,292,NA
2640,"seven",NA,NA,NA,0.003677911,0.000538777,130,424,-0.00628036,-0.001015735,72,283,0
2641,"tomorrow",NA,NA,NA,0,0,228,643,0.122622241,0.019831938,159,255,0
2642,"circumstances",NA,NA,NA,0,0,104,296,0,0,66,193,0
2643,"jpe",NA,NA,NA,-0.463198679,-0.067853975,44,427,0,0,38,223,0
2644,"animals",NA,NA,NA,0.053348151,0.007814971,108,257,0,0,57,145,0
2645,"conclude",NA,NA,NA,0,0,56,292,0,0,22,121,0
2646,"statements",NA,NA,NA,0,0,73,416,0,0,47,275,0
2647,"supported",NA,NA,NA,0,0,96,454,-0.220386923,-0.035643614,56,302,0
2648,"winning",NA,NA,NA,-0.061291312,-0.008978564,124,749,-0.300560285,-0.048610211,70,481,0
2649,"joint",NA,NA,NA,0.021588029,0.00316243,99,419,0.291759951,0.047186916,75,245,0
2650,"mobility",NA,NA,NA,-0.322665653,-0.047267292,32,258,-0.25418627,-0.04111005,12,95,0
2651,"fraction",NA,NA,NA,0,0,50,280,0,0,18,106,0
2652,"dsge",NA,NA,NA,-0.496725461,-0.072765313,27,620,-0.181863582,-0.029413158,14,202,0
2653,"crying",NA,NA,NA,0,0,251,703,-0.153976653,-0.02490295,146,363,0
2654,"annoying",NA,NA,NA,0,0,251,632,0.145531455,0.023537091,163,371,0.005640102
2655,"intervention",NA,NA,NA,0,0,43,263,-0.144257974,-0.023331128,16,143,0
2656,"asians",NA,NA,NA,0.137943081,0.020207282,178,306,0,0,28,114,0
2657,"regressions",NA,NA,NA,-0.051422823,-0.007532929,77,473,0,0,39,215,0
2658,"determined",NA,NA,NA,0,0,68,322,0,0,43,156,0
2659,"regard",NA,NA,NA,0,0,64,312,0,0,23,197,0
2660,"mortgage",NA,NA,NA,-0.070606422,-0.010343135,43,203,-0.042073435,-0.00680462,25,97,0
2661,"observations",NA,NA,NA,0,0,54,265,0,0,26,128,0
2662,"narrow",NA,NA,NA,-0.005644754,-0.0008269,51,325,0,0,24,164,0
2663,"explore",NA,NA,NA,0,0,59,313,0,0,30,89,0
2664,"brand",NA,NA,NA,0,0,92,415,-0.069929047,-0.011309763,52,224,0
2665,"affects",NA,NA,NA,0.036624487,0.005365121,82,291,0,0,32,105,0
2666,"tons",NA,NA,NA,0.061730379,0.009042883,154,488,0,0,50,214,0
2667,"curious",NA,NA,NA,-0.004042175,-0.000592138,181,732,0.143752997,0.023249457,120,368,0
2668,"encourage",NA,NA,NA,0.738952268,0.108249119,156,337,0.178642618,0.028892225,79,208,0
2669,"conclusions",NA,NA,NA,0.096113093,0.014079607,55,389,0,0,30,235,0
2670,"deadwood",NA,NA,NA,-0.554012534,-0.081157297,83,723,-0.829395159,-0.134139725,38,426,-0.064477449
2671,"web",NA,NA,NA,0,0,74,368,0,0,37,209,0
2672,"anonymous",NA,NA,NA,0.121190839,0.017753246,156,590,0,0,86,347,0
2673,"quant",NA,NA,NA,0.104442192,0.015299737,53,401,0.032336009,0.005229767,30,164,0
2674,"graduates",NA,NA,NA,0.122539692,0.01795084,61,270,0,0,25,148,0
2675,"aej",NA,NA,NA,0.765868585,0.11219209,48,233,0.839807618,0.135823753,34,82,0
2676,"miles",NA,NA,NA,-0.100706998,-0.014752568,100,348,-0.22587886,-0.036531836,56,202,0
2677,"cuts",NA,NA,NA,0,0,52,335,0,0,35,179,0
2678,"transition",NA,NA,NA,-0.294982298,-0.043211957,46,308,0,0,25,152,0
2679,"box",NA,NA,NA,-0.129255938,-0.018934702,131,406,0,0,76,214,0
2680,"socially",NA,NA,NA,-0.115647638,-0.016941223,191,369,-0.065948311,-0.010665951,70,186,0
2681,"representative",NA,NA,NA,0,0,73,443,0,0,43,212,0
2682,"apartment",NA,NA,NA,-0.011039522,-0.00161718,253,376,0.214073557,0.034622541,184,227,0.004891026
2683,"responsibility",NA,NA,NA,-0.036328916,-0.005321823,109,401,0,0,65,275,0
2684,"cs",NA,NA,NA,-0.330568915,-0.048425041,45,398,-0.019784852,-0.003199843,28,137,0
2685,"practices",NA,NA,NA,0.18376444,0.026919653,75,249,0.146233055,0.023650562,32,124,0
2686,"indicate",NA,NA,NA,0,0,62,296,0,0,24,98,0
2687,"reduction",NA,NA,NA,0,0,37,228,0,0,14,67,0
2688,"category",NA,NA,NA,0.134170517,0.019654639,81,282,0,0,32,135,0
2689,"publicly",NA,NA,NA,-0.110325261,-0.016161548,89,479,-0.168293124,-0.027218381,55,333,0
2690,"situations",NA,NA,NA,0,0,137,321,-0.046269189,-0.007483208,71,175,0
2691,"bringing",NA,NA,NA,0.396314914,0.058056172,151,398,0.031142488,0.005036736,89,250,0
2692,"expert",NA,NA,NA,-0.467401692,-0.068469674,70,512,-0.380183209,-0.061487785,55,326,-0.004735107
2693,"motivated",NA,NA,NA,0,0,65,341,0,0,37,185,0
2694,"asks",NA,NA,NA,0.119308792,0.017477545,237,619,-0.046315786,-0.007490744,170,491,0
2695,"puts",NA,NA,NA,-0.036294464,-0.005316776,138,552,-0.110513913,-0.017873635,89,388,0
2696,"jfe",NA,NA,NA,0.010772292,0.001578033,37,369,0,0,25,183,0
2697,"loser",NA,NA,NA,0,0,346,782,-0.212317892,-0.034338594,157,495,-0.006454355
2698,"long-run",NA,NA,NA,0,0,20,236,0.277218402,0.044835082,10,56,0
2699,"maryland",NA,NA,NA,-0.113419276,-0.01661479,43,314,0,0,30,139,0
2700,"retarded",NA,NA,NA,-0.222853926,-0.032645872,189,890,-0.230211632,-0.037232584,91,465,-0.012303182
2701,"suit",NA,NA,NA,-0.522987115,-0.076612383,151,515,-0.255666506,-0.041349451,76,242,-0.010437757
2702,"cross",NA,NA,NA,-0.274978316,-0.040281574,86,434,-0.170705262,-0.027608501,47,241,0
