"index","word","female","i_pronoun","exclude","coef","ME","nFemale","nMale","coef_pronoun","ME_pronoun","nFemale_pronoun","nMale_pronoun","linear_coef"
36,"or",NA,NA,NA,-0.031734705,-0.004648817,11344,38009,-0.004757021,-0.000769362,5964,19157,0
37,"they",NA,NA,NA,-0.058088097,-0.008509325,9788,33047,-0.051812268,-0.008379701,3881,15734,-0.006676082
38,"if",NA,NA,NA,0.067484319,0.009885778,15543,42483,-0.017621563,-0.00284997,9158,24695,0.000341832
39,"_",NA,NA,NA,0,0,111,513,-0.196347444,-0.031755662,61,208,-0.000391153
40,"0",NA,NA,NA,0.041855064,0.006131348,9501,29060,0,0,4609,13985,-4.11e-05
41,"at",NA,NA,NA,-0.00949664,-0.001391163,13185,46419,-0.046172738,-0.007467609,7546,25974,-0.005743965
42,"so",NA,NA,NA,0.03296762,0.004829427,12543,37540,-0.02510982,-0.004061061,7074,20945,-0.002796776
43,"your",NA,NA,NA,0.341771767,0.050066147,14658,27689,0.167573311,0.027101964,6479,11703,0.018895397
44,"/",NA,NA,NA,0.052951723,0.007756898,5115,19709,0.019132603,0.003094354,2434,10039,-0.002661973
45,"\xc2\xaf",NA,NA,NA,-0.045417278,-0.006653177,85,362,-0.109507141,-0.017710807,47,153,0
46,"from",NA,NA,NA,-0.009616528,-0.001408725,9144,36053,-0.003069814,-0.000496487,5210,19056,-0.000407714
47,"will",NA,NA,NA,0.04472516,0.006551789,9814,28597,-0.074365078,-0.012027212,5326,15952,-0.009406234
48,"was",NA,NA,NA,-0.06698169,-0.009812148,12040,42929,-0.035254205,-0.005701733,8756,29015,-0.005891329
49,"an",NA,NA,NA,-0.001407805,-0.000206229,10457,38590,-0.030491325,-0.004931422,6054,22099,-0.007408475
50,"we",NA,NA,NA,-0.034131499,-0.004999923,6323,22834,0.01664618,0.00269222,3539,10654,0.002196712
51,"more",NA,NA,NA,0.036596912,0.005361082,8187,27271,-0.018872456,-0.00305228,4042,13816,-0.000776434
52,"by",NA,NA,NA,-0.010459088,-0.001532152,7796,32201,0.002820252,0.000456125,4142,16486,0.000106859
53,"do",NA,NA,NA,0.008355753,0.001224034,11178,34339,0.061675226,0.009974857,6087,16023,0.009172652
54,"my",NA,NA,NA,0.329078051,0.048206644,16577,30727,0.205617802,0.033254975,7932,14746,0.021263709
55,"can",NA,NA,NA,-0.008852959,-0.00129687,8906,28159,-0.079697971,-0.012889711,4895,14712,-0.00620858
56,"about",NA,NA,NA,0.021172077,0.003101498,11153,37167,-0.020643808,-0.003338764,6276,20381,-0.005989278
57,"all",NA,NA,NA,0,0,9873,31949,-0.080565084,-0.013029951,4869,16635,-0.014390294
58,"he",0,1,1,NA,NA,2748,86644,NA,NA,1152,88240,NA
59,"|",NA,NA,NA,-0.012754734,-0.001868441,154,623,-0.030419414,-0.004919792,82,268,-0.004577346
60,"there",NA,NA,NA,-0.004515006,-0.000661403,7456,26681,0,0,3681,13530,0
61,"would",NA,NA,NA,-0.01425286,-0.002087902,8658,27601,-0.063754979,-0.010311219,5008,16228,-0.006334134
62,"what",NA,NA,NA,-0.02819115,-0.004129722,10019,35591,0.007969266,0.001288885,5950,19046,-0.002048335
63,"like",NA,NA,NA,0.047697204,0.006987163,12325,35230,-0.003643722,-0.000589306,6642,18231,-0.001120031
64,"their",NA,NA,NA,0.173377366,0.02539805,6320,19551,0.054961218,0.008888987,2216,9010,0.008097586
65,"just",NA,NA,NA,-0.007575351,-0.001109713,11504,34653,0.041549293,0.00671985,6823,18390,0.006268422
66,"people",NA,NA,NA,-0.177363472,-0.025981975,5597,23397,-0.099610906,-0.01611027,2855,12735,-0.012564966
67,"who",NA,NA,NA,-0.169425727,-0.024819175,9028,33630,-0.104909497,-0.016967221,4737,18883,-0.013657108
68,"some",NA,NA,NA,-0.057566974,-0.008432986,7357,26426,-0.047493436,-0.007681208,3959,13445,-0.009151523
69,"one",NA,NA,NA,-0.061614191,-0.009025863,8104,29375,-0.043045909,-0.0069619,4702,16985,-0.008186031
70,"no",NA,NA,NA,0.076884205,0.011262767,8962,29687,-0.019884992,-0.003216039,4637,15475,-0.00429507
71,"get",NA,NA,NA,0.053761466,0.007875517,9844,25051,0.03595845,0.005815631,5141,12911,0.004723666
72,"than",NA,NA,NA,0.028516859,0.004177435,6604,22327,0.007382439,0.001193977,3290,11649,0
73,"which",NA,NA,NA,-0.003782789,-0.000554141,3927,16853,-0.007908224,-0.001279013,2203,9357,0
74,"*",NA,NA,NA,0.00993635,0.001455576,5253,14525,-0.005748431,-0.000929705,2702,7400,-0.00133746
75,"has",NA,NA,NA,-0.034197383,-0.005009575,7542,31875,-0.061408116,-0.009931656,5187,20661,-0.009504214
76,"s",NA,NA,NA,-0.139232291,-0.020396138,3952,16888,-0.171655818,-0.027762236,2155,9095,-0.006203199
77,"don't",NA,NA,NA,0.043634905,0.006392077,9093,24179,0.027665742,0.004474435,4795,11788,0.007408497
78,"good",NA,NA,NA,-0.11204749,-0.016413837,7018,25747,-0.063632363,-0.010291388,3963,12736,-0.009897466
79,"out",NA,NA,NA,0.075171281,0.011011841,8512,23778,0.059197566,0.00957414,5224,13598,0.002544798
80,"then",NA,NA,NA,0.063987916,0.00937359,6456,17652,0.044935791,0.007267555,4080,10685,0.00771339
81,"me",NA,NA,NA,0.115935196,0.016983347,11444,22447,0.156049567,0.025238206,6506,11462,0.020508819
82,"other",NA,NA,NA,-0.047718288,-0.006990252,5057,17929,0.05397753,0.008729893,2897,9498,0.007094627
83,"!",NA,NA,NA,-0.032957632,-0.004827964,6988,23974,-0.010462197,-0.001692072,3537,9557,-0.002314501
84,"even",NA,NA,NA,-0.145993212,-0.021386546,5508,20123,-0.028846509,-0.004665403,3212,11176,-0.005672657
85,"up",NA,NA,NA,0.024816673,0.003635394,8447,21874,0.066166632,0.010701261,4828,12100,0.010002204
86,"0",NA,NA,NA,-0.12643517,-0.018521488,1845,12903,-0.013476388,-0.002179563,1027,5870,0.002182672
87,"his",0,1,1,NA,NA,2264,57260,NA,NA,900,58624,NA
88,"them",NA,NA,NA,-0.041188353,-0.006033682,5324,15244,-0.133023125,-0.021514094,2193,7928,-0.017339508
89,"when",NA,NA,NA,0.039585228,0.00579884,8032,21762,-0.047387568,-0.007664085,4575,13360,-0.006092679
90,"time",NA,NA,NA,0.017049555,0.002497589,6309,18561,0.065171259,0.010540277,3718,10334,0.007446328
91,"how",NA,NA,NA,0.083440086,0.012223138,7611,23880,0.043545352,0.007042676,4250,12632,0.003229491
92,"also",NA,NA,NA,-0.044578195,-0.00653026,5067,17924,-0.021487858,-0.003475274,2833,9898,-0.001230773
93,"etc",NA,NA,NA,0.139961939,0.020503025,1910,5922,0.058371442,0.009440529,873,2571,0
94,"because",NA,NA,NA,0.00795076,0.001164707,6521,19944,-0.053641028,-0.00867547,3697,12563,-0.004523947
95,"think",NA,NA,NA,-0.101014714,-0.014797646,6609,22626,-0.098974628,-0.016007363,3896,12612,-0.008044704
96,"it's",NA,NA,NA,-0.013835884,-0.002026819,6089,18154,0.05332994,0.008625157,3322,8895,0.004109793
97,"much",NA,NA,NA,-0.089161235,-0.013061229,4768,15826,-0.027204371,-0.004399817,2589,8398,0
98,"these",NA,NA,NA,-0.123959441,-0.018158819,3065,13500,0.020695679,0.003347153,1352,5460,0.001701679
99,"only",NA,NA,NA,0.088341801,0.012941191,5879,18397,0.003206773,0.000518638,2906,10162,0
100,"very",NA,NA,NA,0.009202133,0.001348021,4573,16243,0.019499404,0.003153677,2683,9342,0.000353167
101,"any",NA,NA,NA,-0.050490505,-0.007396354,4488,17079,-0.000683588,-0.000110558,2419,8590,-0.004329646
102,"'",NA,NA,NA,-0.01540459,-0.002256618,2451,8966,-0.032453504,-0.00524877,1233,4491,-0.00533481
103,"work",NA,NA,NA,-0.0126789,-0.001857332,3800,13989,-0.014786789,-0.002391497,2227,8018,-0.001258382
104,"most",NA,NA,NA,0.010200794,0.001494314,4148,14941,-0.031405224,-0.005079229,1779,7645,-0.00086739
105,"know",NA,NA,NA,-0.111376432,-0.016315534,6136,20792,-0.131619574,-0.021287095,3593,11344,-0.015328154
106,"were",NA,NA,NA,0.053698908,0.007866353,4110,13251,0.04401859,0.007119214,2210,7636,0.002118612
107,"v",NA,NA,NA,-0.105321235,-0.015428508,181,897,0,0,93,348,0
108,"should",NA,NA,NA,0.001761594,0.000258056,5019,16935,-0.080394056,-0.01300229,3091,9860,-0.00523229
109,"0",NA,NA,NA,-0.046643989,-0.006832878,2287,9395,-0.066822616,-0.010807354,1149,4521,-0.005159117
110,"had",NA,NA,NA,0.063806436,0.009347005,5809,16733,-0.056156264,-0.009082264,3762,11477,-0.005684198
111,"make",NA,NA,NA,0.062381928,0.009138329,4992,13397,0.075556972,0.012219979,2869,7451,0.008323751
112,"now",NA,NA,NA,0.027091495,0.003968633,5491,16337,0.013152951,0.002127253,3252,9196,0
113,"really",NA,NA,NA,-0.00308661,-0.000452158,5117,15809,-0.031133884,-0.005035345,3054,8732,-0.005009169
114,"want",NA,NA,NA,0.097622903,0.014300779,5702,12230,0.01007583,0.001629584,2909,6180,0
115,"us",NA,NA,NA,-0.132500705,-0.019410028,2885,12466,-0.151096818,-0.024437188,1354,6131,-0.016262365
116,"go",NA,NA,NA,0.050142335,0.007345351,5425,13294,0.077570028,0.012545555,2922,6563,0.016987454
117,"top",NA,NA,NA,-0.186331886,-0.027295758,1641,10988,-0.130139104,-0.021047656,937,5540,-0.008377996
118,"\xe2\x80\x9d",NA,NA,NA,0.105049659,0.015388725,882,3915,0.120778019,0.019533669,699,2601,0
119,"been",NA,NA,NA,-0.064347175,-0.009426218,4188,14804,0.000183505,2.97e-05,2616,8724,0.004657309
120,"better",NA,NA,NA,0.025783324,0.003776999,3685,11616,0.004588759,0.000742149,1884,5812,0
121,"\xc3\xa2",NA,NA,NA,0,0,1,14,0,0,1,9,0
122,"many",NA,NA,NA,0.006332137,0.000927595,3182,11731,0,0,1518,5954,0
123,"her",1,1,1,NA,NA,26593,7252,NA,NA,29174,4671,NA
124,"years",NA,NA,NA,-0.064255156,-0.009412738,3853,13106,0.001273947,0.000206038,2315,7482,0
125,"see",NA,NA,NA,-0.018642817,-0.002730986,3912,13215,-0.039275333,-0.006352078,2381,7197,0.003148984
126,"way",NA,NA,NA,-0.002608442,-0.000382111,4033,12505,0.056326077,0.009109728,2437,7093,0.007789362
127,"\xe2\x80\x9c",NA,NA,NA,0,0,886,3928,0,0,705,2617,0.007317671
128,"she",1,1,1,NA,NA,26964,6828,NA,NA,29429,4363,NA
129,"%",NA,NA,NA,-0.040493196,-0.005931848,1814,6389,-0.009272367,-0.001499638,715,2767,-0.000619841
130,"$",NA,NA,NA,0.047282849,0.006926465,1268,4393,0,0,675,2227,0
131,"\\",NA,NA,NA,-0.233926846,-0.034267944,98,576,-0.105538779,-0.017068996,31,206,-4.09e-05
132,"could",NA,NA,NA,-0.000783818,-0.000114821,3605,11902,-0.064537227,-0.010437734,2260,7438,-0.007487131
133,"i'm",NA,NA,NA,0.084794763,0.012421585,6474,14648,0.179759558,0.02907287,3345,6511,0.024132937
134,"those",NA,NA,NA,-0.074343567,-0.010890589,2611,10448,-0.001170582,-0.000189321,1219,5007,0
135,"into",NA,NA,NA,0.09611148,0.014079371,3735,11062,0,0,2131,6453,0
136,"well",NA,NA,NA,-0.008147513,-0.001193529,3613,12672,-0.010583099,-0.001711626,2179,7245,-0.000536175
137,"why",NA,NA,NA,0.033744979,0.004943302,5281,17464,-0.018841585,-0.003047287,2797,9475,-0.008407238
138,"first",NA,NA,NA,0.089807129,0.013155846,3612,11907,0.071194237,0.011514385,2149,6480,0.007807439
139,"paper",NA,NA,NA,-0.165710525,-0.024274935,1503,11727,-0.066201208,-0.010706853,1030,6500,-0.016440894
140,"where",NA,NA,NA,-0.023516733,-0.003444966,3138,11387,-0.105328678,-0.017035016,1710,6386,-0.012132621
141,"its",NA,NA,NA,-0.056673081,-0.00830204,2207,9332,0.099894682,0.016156165,1173,4696,0.013328965
142,"our",NA,NA,NA,0.097992391,0.014354906,2324,8265,0.126470902,0.02045439,1252,4082,0.011499086
143,"research",NA,NA,NA,-0.082813242,-0.012131312,1407,8238,-0.121398215,-0.019633974,828,4270,-0.011165467
144,"over",NA,NA,NA,0.052354536,0.007669416,3487,10778,0.083447542,0.013496137,2048,5849,0.00732336
145,"being",NA,NA,NA,0.061516774,0.009011592,4292,11359,0.083437164,0.013494458,2278,6574,0.008658339
146,"am",NA,NA,NA,-0.075730863,-0.011093814,4424,12611,-0.043960259,-0.00710978,2270,5609,0
147,"said",NA,NA,NA,-0.005562425,-0.00081484,2977,10209,-0.094797585,-0.015331802,2356,7633,-0.005047622
148,"year",NA,NA,NA,-0.037286793,-0.005462142,3130,11141,-0.036907529,-0.005969128,1678,5892,-0.004015491
149,"job",NA,NA,NA,-0.043090902,-0.006312386,3091,10313,-0.009943261,-0.001608143,1609,5517,-0.000135163
150,"students",NA,NA,NA,-0.09644389,-0.014128066,1474,6889,-0.07157302,-0.011575647,766,3867,-0.000417075
151,"after",NA,NA,NA,0.104320105,0.015281852,4190,11749,0.057693516,0.009330887,2725,7417,0.008569653
152,"new",NA,NA,NA,-0.082160973,-0.012035761,2175,10335,0.026182432,0.004234537,1273,4934,0.003848081
153,"economics",NA,NA,NA,-0.122181967,-0.017898436,1120,9808,-0.057625482,-0.009319883,640,4696,-0.000418782
154,"too",NA,NA,NA,0.075518934,0.011062769,4706,12925,0.018666849,0.003019027,2548,6845,0.003667576
155,"need",NA,NA,NA,-0.05402067,-0.007913488,3216,10066,-0.008974529,-0.001451468,1582,4388,0
156,"say",NA,NA,NA,0.023547484,0.003449471,3681,11683,-0.014774929,-0.002389579,2255,6836,0
157,"still",NA,NA,NA,-0.083092695,-0.012172249,3341,11278,-0.004779483,-0.000772995,2014,6286,0
158,"may",NA,NA,NA,0.014745712,0.002160099,1869,7019,-0.067789387,-0.010963712,1130,3967,-0.003834656
159,"t",NA,NA,NA,-0.21367768,-0.031301644,2184,8554,-0.113203871,-0.018308687,1286,4627,-0.016275624
160,"school",NA,NA,NA,0.002973098,0.000435529,2446,8228,0,0,1334,4314,0
161,"same",NA,NA,NA,0.0001608,2.36e-05,2789,9972,-0.03324318,-0.005376485,1443,5213,-0.002587501
162,"find",NA,NA,NA,0.217822454,0.031908812,3424,8071,0.112376965,0.01817495,1637,3789,0.014497702
163,"take",NA,NA,NA,-0.006770463,-0.000991805,3252,9433,0,0,1925,5153,0
164,"does",NA,NA,NA,0.035968927,0.005269088,3587,13491,-0.066767161,-0.010798385,2372,8567,-0.004046246
165,"here",NA,NA,NA,-0.17615875,-0.025805496,4688,18816,0.053811147,0.008702984,2346,7404,0.002408673
166,"going",NA,NA,NA,-0.026241268,-0.003844083,3761,11396,-0.051112921,-0.008266594,2223,6380,-0.006009396
167,"university",NA,NA,NA,0.051693671,0.007572606,955,4970,0.134312974,0.021722704,640,2533,0.020713292
168,"]",NA,NA,NA,0,0,514,3383,0,0,359,1640,0
169,"two",NA,NA,NA,0.107439195,0.015738768,2923,9313,-0.00544105,-0.000879992,1550,5049,-0.000465431
170,"market",NA,NA,NA,-0.073657321,-0.010790061,1750,7954,-0.075149996,-0.012154158,702,3706,-0.010155206
171,"him",0,1,1,NA,NA,1599,30602,NA,NA,803,31398,NA
172,"something",NA,NA,NA,-0.039405146,-0.00577246,3010,9195,0.07664131,0.012395351,1941,5245,0.01359659
173,"such",NA,NA,NA,-0.066920856,-0.009803236,1762,7408,0.04646037,0.007514128,972,4012,0.005580943
174,"[",NA,NA,NA,-0.017466021,-0.002558597,513,3392,0.044420812,0.007184266,361,1646,0.001665487
175,"life",NA,NA,NA,-0.011541729,-0.001690748,4034,7644,0,0,2017,4133,0
176,"=",NA,NA,NA,0.055454747,0.008123566,751,2682,-0.061733988,-0.00998436,228,923,0
177,"lot",NA,NA,NA,-0.054502542,-0.007984077,2685,8810,-0.009754811,-0.001577665,1402,4720,-0.00178245
178,"data",NA,NA,NA,-0.147835223,-0.021656382,729,5648,-0.151974706,-0.024579171,341,2278,-0.012710413
179,"things",NA,NA,NA,0.046946011,0.006877121,2617,7085,0.086510724,0.013991551,1541,4051,0.015093972
180,"while",NA,NA,NA,0.108015581,0.015823203,3083,8133,0.09863906,0.015953091,1713,4846,0.011372313
181,"use",NA,NA,NA,-0.107925906,-0.015810066,1658,7415,0.002945049,0.000476309,841,3242,0
182,"did",NA,NA,NA,-0.007620244,-0.00111629,4035,14929,-0.106093675,-0.017158741,2962,9878,-0.010087712
183,"might",NA,NA,NA,0.01226832,0.001797186,2092,6696,0.009239811,0.001494373,1343,3914,0.002983186
184,"right",NA,NA,NA,-0.001212202,-0.000177575,3051,10401,-0.066515421,-0.010757671,1833,5983,-0.007340644
185,"world",NA,NA,NA,-0.018874898,-0.002764984,1801,7821,-0.18066984,-0.029220092,777,4144,-0.015844875
186,"never",NA,NA,NA,0.028564062,0.004184349,3913,10022,-0.02046846,-0.003310405,2171,5914,-0.000987609
187,"less",NA,NA,NA,0.004095673,0.000599975,1804,5612,0,0,799,2737,0
188,"back",NA,NA,NA,-0.110565198,-0.016196696,3145,9202,-0.001717879,-0.000277836,2143,5412,0
189,"}",NA,NA,NA,0,0,74,405,0,0,24,141,-1.27e-05
190,"economist",NA,NA,NA,-0.28227549,-0.041350537,855,5539,-0.164218273,-0.026559347,542,3345,0
191,"r",NA,NA,NA,-0.0858767,-0.012580078,682,4774,-0.010187353,-0.001647621,363,1933,-0.009942363
192,"you're",NA,NA,NA,0.057630867,0.008442346,3011,6517,0.242973012,0.039296508,1560,2569,0.035858251
193,"probably",NA,NA,NA,0.010394023,0.00152262,2675,8096,0.00250856,0.000405714,1720,4997,0
194,"best",NA,NA,NA,0.041006756,0.00600708,2558,8552,0.06139454,0.009929461,1320,4423,0.00011139
195,"money",NA,NA,NA,0.062139351,0.009102794,1951,6011,-0.113499654,-0.018356524,975,3307,-0.009888164
196,"before",NA,NA,NA,0.055418739,0.008118291,2719,8308,0.000245813,3.98e-05,1798,5217,0
197,"{",NA,NA,NA,-0.040391226,-0.005916911,77,413,0.101641109,0.016438618,25,143,0
198,"since",NA,NA,NA,0.035567229,0.005210243,1937,6841,0.036715943,0.005938142,1188,3924,0
199,"papers",NA,NA,NA,-0.204139616,-0.029904413,854,7177,-0.217336498,-0.035150263,592,4194,-0.02541553
200,"few",NA,NA,NA,-0.005074425,-0.000743353,2289,7425,0.034989218,0.005658876,1339,4119,0.004480949
201,"both",NA,NA,NA,0.130602625,0.019131979,1998,6301,0.065697367,0.010625365,1065,3132,0.005330653
202,"great",NA,NA,NA,-0.087870777,-0.01287219,2323,9181,-0.063235657,-0.010227228,1371,4840,-0.011734294
203,"high",NA,NA,NA,0.051628712,0.00756309,1813,5544,-0.004515832,-0.000730354,826,2667,0
204,"economic",NA,NA,NA,-0.228012979,-0.033401622,466,5152,-0.050537942,-0.008173602,257,2376,0
205,"that's",NA,NA,NA,0.026518959,0.003884762,2839,8316,0.047400952,0.00766625,1640,4472,0.001294927
206,"different",NA,NA,NA,-0.051797234,-0.007587777,1423,5414,-0.02562041,-0.00414364,720,2868,-0.001542365
207,"look",NA,NA,NA,0.043450234,0.006365025,2861,8219,0.003668315,0.000593284,1465,4299,0
208,"theory",NA,NA,NA,-0.495178631,-0.072538718,415,6347,-0.318346706,-0.051486845,258,2787,-0.016792032
209,"though",NA,NA,NA,0.058053218,0.008504216,2253,6963,-0.022109436,-0.003575803,1334,4168,0
210,"down",NA,NA,NA,-0.170219208,-0.024935412,2137,7377,-0.107861227,-0.01744461,1294,4077,-0.01775104
211,"real",NA,NA,NA,-0.035500151,-0.005200417,2043,7732,0.011796032,0.001907796,1089,3719,0
212,"actually",NA,NA,NA,0.008974797,0.001314718,2558,8892,-0.047715564,-0.007717133,1432,5220,-0.00796037
213,"phd",NA,NA,NA,-0.001734437,-0.000254078,1751,7295,-0.05962434,-0.009643163,968,3837,-0.011295387
214,"got",NA,NA,NA,-0.092424566,-0.013539275,3390,11032,-0.107182817,-0.01733489,2285,6801,-0.015107722
215,"between",NA,NA,NA,-0.074648827,-0.010935307,1223,5317,0,0,602,2389,0
