a2_spring_id,a3_spring_name,treatment_arm,gpsn1,gpse1,gps1all
1010,"JIKAZE SOWETO",6,.39985,34.49003,".39985,34.49003"
1013,"ROHO SAFI",4,.3989333,34.48985,".3989333,34.48985"
1014,"OTWOMA",6,.3390833,34.4355,".3390833,34.4355"
1015,"MUKOYA",5,.3583167,34.44122,".3583167,34.44122"
1021,"OKELLO",6,.3559833,34.43142,".3559833,34.43142"
5001,"NAKHALIRO A",6,.4391667,34.39919,".4391667,34.39919"
5002,"NAKHALIRO 'B'",4,.4390333,34.40192,".4390333,34.40192"
5004,"OSIMBO",1,.4115833,34.36442,".4115833,34.36442"
5007,"TANDE",7,.4336667,34.43255,".4336667,34.43255"
5008,"MUKABANA",6,.4084833,34.45912,".4084833,34.45912"
5009,"F. AUKA",7,.4049333,34.45757,".4049333,34.45757"
5012,"J WERE",2,.39835,34.40227,".39835,34.40227"
5013,"MURIKA",3,.43285,34.4351,".43285,34.4351"
5017,"MULAMBA",6,.4161167,34.3739,".4161167,34.3739"
5019,"ANDIWO",5,.29495,34.39567,".29495,34.39567"
5020,"NAMANO",6,.3863,34.43205,".3863,34.43205"
5023,"PHILLIPO",1,.4265167,34.37057,".4265167,34.37057"
5025,"RUPIA/MUSOLO",1,.3978833,34.43623,".3978833,34.43623"
5028,"NABONWE",5,.4016,34.4301,".4016,34.4301"
5029,"WAMUKOYA",4,.4135,34.43533,".4135,34.43533"
5030,"ONYANGO",5,.33705,34.41133,".33705,34.41133"
5031,"PETRO JUMA",7,.4271667,34.43573,".4271667,34.43573"
5037,"ONYANGO",7,.41455,34.38295,".41455,34.38295"
5042,"OKOTH",7,.4662,34.4218,".4662,34.4218"
5044,"OTIALO",6,.35235,34.39887,".35235,34.39887"
5046,"OTANG'O",1,.44715,34.42823,".44715,34.42823"
5047,"KITUYI",6,.4386833,34.42863,".4386833,34.42863"
5050,"MWENJERE",7,.3980333,34.45537,".3980333,34.45537"
5051,"MAPESA",3,.45405,34.42311,".45405,34.42311"
5052,"IKWENYI",5,.4616667,34.42743,".4616667,34.42743"
5055,"MUSA OMWOLO",2,.4239667,34.43867,".4239667,34.43867"
5057,"IYAYA",7,.4042833,34.37905,".4042833,34.37905"
5065,"M. ONYANGO",7,.4208,34.40536,".4208,34.40536"
5070,"OJWANG",2,.4548167,34.37932,".4548167,34.37932"
5071,"OTEU",4,.3830833,34.43315,".3830833,34.43315"
5072,"AMANYA",4,.4432333,34.40932,".4432333,34.40932"
5074,"BAKARI WESONGA",3,.4600667,34.4499,".4600667,34.4499"
5076,"SHIUNDU",6,.4614167,34.44717,".4614167,34.44717"
5080,"OKUMBO",5,.3782833,34.41443,".3782833,34.41443"
5081,"OTUNDO",5,.4485167,34.44313,".4485167,34.44313"
5082,"OKUTANG'U",5,.3797833,34.42108,".3797833,34.42108"
5083,"MENYENDO",5,.45095,34.43863,".45095,34.43863"
5085,"MUSAFIRI",1,.3924167,34.4532,".3924167,34.4532"
5086,"MAKANDA",6,.4174833,34.36662,".4174833,34.36662"
5087,"G. WESONGA",4,.4567667,34.4486,".4567667,34.4486"
5089,"MURICA",7,.38275,34.41191,".38275,34.41191"
5090,"FABIANO OTSIENO/MURIKA",4,.3846167,34.41633,".3846167,34.41633"
5091,"OTUCHI",7,.3833,34.4217,".3833,34.4217"
5094,"KHANDA",6,.3637333,34.41855,".3637333,34.41855"
5102,"ONGWENY",5,.40255,34.42645,".40255,34.42645"
5103,"OKUMU CHUTUYI",5,.4360167,34.45058,".4360167,34.45058"
5104,"INGUNYI",6,.4346,34.42585,".4346,34.42585"
5107,"WERE",2,.3966333,34.3917,".3966333,34.3917"
5108,"WASHIKUTWA",7,.4260667,34.45347,".4260667,34.45347"
5111,"ANERIKO",5,.3508333,34.41138,".3508333,34.41138"
5114,"CHANDA",4,.3887,34.4164,".3887,34.4164"
5116,"MUTWANA",6,.3437833,34.41323,".3437833,34.41323"
5118,"OTIEKA",7,.4269167,34.41012,".4269167,34.41012"
5119,"TONGWA",2,.35595,34.42132,".35595,34.42132"
5122,"AMBANDA",7,.4002667,34.42935,".4002667,34.42935"
5126,"SARAH",5,.4139833,34.38292,".4139833,34.38292"
5130,"MALIBA",5,.4069,34.40498,".4069,34.40498"
5132,"KOMBWAS",4,.3294833,34.401,".3294833,34.401"
5139,"TONDE",6,.4575667,34.37598,".4575667,34.37598"
5140,"NABASWA",5,.4519333,34.3763,".4519333,34.3763"
5144,"MASINDE",7,.3908167,34.40317,".3908167,34.40317"
5145,"ANGWETE",5,.3912833,34.44418,".3912833,34.44418"
5151,"WASWA",6,.4242,34.37277,".4242,34.37277"
5152,"NABWIRE",5,.4444167,34.39737,".4444167,34.39737"
5155,"YWAYA",1,.4387333,34.46041,".4387333,34.46041"
