a2_spring_id,a3_spring_name,treatment_arm,gpsn1,gpse1,gps1all
5157,"WAKHU",7,.2894333,34.40443,".2894333,34.40443"
5160,"JELLA",7,.3947833,34.44393,".3947833,34.44393"
5161,"JOMO",2,.4527333,34.39323,".4527333,34.39323"
5164,"KALORI",6,.4160667,34.39272,".4160667,34.39272"
5165,"OPIO",1,.3417667,34.4035,".3417667,34.4035"
5166,"WERAMBO",6,.3407167,34.40888,".3407167,34.40888"
5168,"WABWIRE",7,.43115,34.36172,".43115,34.36172"
5173,"LAMBERT WESONGA",6,.449,34.41173,".449,34.41173"
5174,"OLESO",5,.3051833,34.40443,".3051833,34.40443"
5179,"DAMIANO",5,.3467,34.4146,".3467,34.4146"
5181,"MASANGA",4,.3451333,34.40875,".3451333,34.40875"
5184,"OPULI",6,.4143167,34.40635,".4143167,34.40635"
5185,"AKAYA",1,.4162167,34.4103,".4162167,34.4103"
5189,"WAFULA",1,.4345667,34.40395,".4345667,34.40395"
5192,"WANJIRI",7,.3311833,34.3958,".3311833,34.3958"
5193,"RAPANDO",3,.42815,34.45635,".42815,34.45635"
5195,"SARAI",7,.3454833,34.40408,".3454833,34.40408"
5196,"MUSUMBA",7,.4222,34.46242,".4222,34.46242"
