,PID_79,HHID_79,month_born,year_born,live_with_mom_at_14,live_with_dad_at_14,single_mom_at_14,usborn,male,hispanic,black,AFQT_HS,AFQT,ROTTER,ROSENBERG,HGC_Age28,HGC_Age24,HGC_FATH79r,HGC_MOTH79r,real_earnings_1978,real_earnings_1979,real_earnings_1980,real_earnings_1981,real_earnings_1982,real_earnings_1983,real_earnings_1984,real_earnings_1985,real_earnings_1986,real_earnings_1987,real_earnings_1988,real_earnings_1989,real_earnings_1990,real_earnings_1991,real_earnings_1992,real_earnings_1993,real_earnings_1995,real_earnings_1997,real_earnings_1999,real_earnings_2001,real_earnings_2003,real_earnings_2005,real_earnings_2007,real_earnings_2009,real_earnings_2011,weeks_worked_1978,weeks_worked_1979,weeks_worked_1980,weeks_worked_1981,weeks_worked_1982,weeks_worked_1983,weeks_worked_1984,weeks_worked_1985,weeks_worked_1986,weeks_worked_1987,weeks_worked_1988,weeks_worked_1989,weeks_worked_1990,weeks_worked_1991,weeks_worked_1992,weeks_worked_1993,weeks_worked_1995,weeks_worked_1997,weeks_worked_1999,weeks_worked_2001,weeks_worked_2003,weeks_worked_2005,weeks_worked_2007,weeks_worked_2009,weeks_worked_2011,NORTH_EAST_79,NORTH_CENTRAL_79,SOUTH_79,WEST_79,college,earnings_in_2000
502,503,503,2,61,1.0,1.0,0.0,1.0,0,0,0,1.0,56.772999,9.0,500.0,12.0,12.0,10.0,10.0,3344.4172,3604.2314,4498.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20379.064,19632.893,23393.924,23701.737999999998,25679.917999999998,15775.097,15246.041000000001,0.0,14.0,27.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,30.0,0.0,0.0,1.0,0.0,0.0,0,21776.904749999998
669,670,670,2,61,1.0,1.0,0.0,1.0,0,0,0,1.0,89.418999,6.0,413.0,16.0,14.0,15.0,12.0,5016.626,6007.0522,3175.5728,14393.136,33894.715,17514.539,16795.979,7498.2080000000005,19.89562,9597.5352,23962.197,26377.742000000002,23357.183999999997,0.0,45072.16,48289.219000000005,51509.293,58419.988,58898.68,0.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,13.0,30.0,52.0,44.0,52.0,23.0,0.0,12.0,46.0,49.0,32.0,0.0,35.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,29329.667
895,896,896,6,61,1.0,1.0,0.0,1.0,0,0,0,1.0,98.804001,6.0,507.0,16.0,16.0,17.0,16.0,1337.7668,3003.5261,3307.8884,479.77117999999996,12428.063,32839.758,31480.654,30398.141,31832.992000000002,15356.056999999999,20275.705,26377.742000000002,50051.109000000004,48029.957,31084.248,39234.988,41493.598,27172.088,26177.191000000003,24625.183999999997,17776.305,16747.773,25240.154,35574.098,30342.237999999998,17.0,30.0,51.0,24.0,29.0,52.0,52.0,51.0,45.0,45.0,52.0,28.0,52.0,52.0,47.0,35.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,1.0,0.0,0.0,1,23937.692000000003
959,960,959,1,61,1.0,1.0,0.0,1.0,1,0,0,1.0,88.978996,9.0,435.0,15.0,15.0,16.0,15.0,10033.252,12014.104,2646.3108,8395.9951,1807.7181,9851.9277,20987.104,62822.824,79582.484,86377.82,55297.379,105510.97,133469.63,6588248.0,124336.99,253061.16,200916.28,221667.17,259311.25,290577.16,315153.72,167477.73,157750.97,162624.44,333309.0,18.0,33.0,12.0,15.0,11.0,35.0,48.0,46.0,40.0,49.0,47.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,1.0,0.0,0.0,0,271677.325
1154,1155,1154,8,61,1.0,0.0,1.0,1.0,0,0,1,1.0,25.334,9.0,544.0,14.0,14.0,12.0,12.0,4023.3340000000003,4505.2891,3175.5728,1919.0847,17708.859,35815.043,38196.527,40530.855,48744.27,46068.168,47924.395,50117.710999999996,48382.738,51231.953,46626.371,48289.219000000005,47216.852,52985.57,56280.960999999996,56637.922,60439.434,58058.945,69936.258,58951.359000000004,65919.242,29.0,52.0,44.0,17.0,33.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,0,56585.97175
1305,1306,1306,10,62,0.0,0.0,0.0,1.0,0,0,0,0.0,48.847,12.0,569.0,12.0,12.0,7.0,12.0,150.49878,600.70526,4472.2651,21589.702999999998,1807.7181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2836.2295,12807.988000000001,2175.8975,12072.305,24323.832000000002,18735.154,17015.174,33859.629,40292.957,36845.102,34389.711,35574.098,37806.625,0.0,6.0,25.0,52.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1.0,0.0,0,27475.728499999997
1547,1548,1547,4,61,0.0,0.0,0.0,1.0,0,0,0,0.0,40.716,10.0,472.0,10.0,10.0,10.0,10.0,0.0,7508.8154,0.0,0.0,0.0,0.0,163.6994,14185.798999999999,11937.372,23034.084,33178.426,28136.257999999998,28362.295,33620.969,32638.461,34707.875,35770.34,25813.482000000004,13088.596000000001,43094.07,11969.378,4466.0728,2629.1826,6098.4165,3005.1418,0.0,20.0,3.0,0.0,0.0,0.0,1.0,40.0,43.0,32.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,35.0,52.0,26.0,52.0,52.0,52.0,52.0,0.0,0.0,0.0,1.0,0,23491.381500000003
1643,1644,1644,1,61,1.0,1.0,0.0,0.0,1,1,0,1.0,43.409,12.0,377.0,13.0,13.0,4.0,6.0,6688.8345,6007.0522,7938.9321,28786.271,28923.49,30650.441000000003,33667.512,32424.683999999997,35812.117,57585.210999999996,46081.148,42204.387,48382.738,41094.43,41342.051,40744.027,40062.781,0.0,21740.156000000003,33243.996,711.05219,10495.271,10516.73,2337.7263,0.0,22.0,35.0,40.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,40.0,0.0,42.0,52.0,52.0,51.0,37.0,16.0,0.0,0.0,0.0,0.0,1.0,0,13923.801047500001
1840,1841,1841,1,61,1.0,1.0,0.0,1.0,0,0,0,1.0,92.678001,9.0,503.0,18.0,17.0,13.0,12.0,11705.46,7508.8154,2249.364,0.0,0.0,0.0,33579.363,40865.234,43770.363,49907.184,57140.625,61548.066,66734.813,80049.93,80819.047,75451.906,57232.547,65213.008,64134.117,73875.547,92436.781,94904.04699999999,93598.906,77246.609,90154.258,52.0,46.0,19.0,0.0,0.0,0.0,51.0,36.0,46.0,52.0,52.0,52.0,47.0,49.0,52.0,52.0,52.0,52.0,52.0,52.0,50.0,52.0,52.0,22.0,52.0,0.0,0.0,0.0,1.0,1,73914.86325000001
1946,1947,1946,2,61,1.0,1.0,0.0,1.0,0,0,0,1.0,41.856998,12.0,435.0,12.0,12.0,10.0,10.0,0.0,901.05786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1167.8593,14408.986,13987.911,16599.418,17169.764,16303.252,14397.455,17607.006,23701.737999999998,17864.291,21033.461,21344.459,24235.016,52.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1.0,0.0,0.0,0.0,0,18002.36275
